,DATE,STATION,ENTRIES,EXITS
1695,03/25/2021,PAVONIA/NEWPORT,2908,3500
1696,03/25/2021,CITY / BUS,3638,3653
1697,03/25/2021,CHRISTOPHER ST,1186,1437
1698,03/25/2021,9TH STREET,1104,1576
1699,03/25/2021,14TH STREET,2412,3126
1700,03/25/2021,TWENTY THIRD ST,1747,2462
1701,03/25/2021,THIRTY ST,3028,3119
1702,03/25/2021,LACKAWANNA,1641,1860
1703,03/25/2021,THIRTY THIRD ST,4979,4245
1704,03/25/2021,NEWARK BM BW,4849,321
1705,03/25/2021,NEWARK C,1347,206
1706,03/25/2021,NEWARK HM HE,0,5341
1707,03/25/2021,PATH WTC 2,1164,3354
1708,03/25/2021,PATH NEW WTC,12773,12779
1709,03/26/2021,NEWARK HW BMEBE,1076,1487
1710,03/26/2021,HARRISON,2343,2492
1711,03/26/2021,JOURNAL SQUARE,9512,6862
1712,03/26/2021,GROVE STREET,5175,5698
1713,03/26/2021,EXCHANGE PLACE,3109,4079
1714,03/26/2021,PAVONIA/NEWPORT,3278,3491
1715,03/26/2021,CITY / BUS,3714,3523
1716,03/26/2021,CHRISTOPHER ST,1055,1589
1717,03/26/2021,9TH STREET,1011,1753
1718,03/26/2021,14TH STREET,1958,3028
1719,03/26/2021,TWENTY THIRD ST,1549,2622
1720,03/26/2021,THIRTY ST,2362,3022
1721,03/26/2021,LACKAWANNA,1527,1719
1722,03/26/2021,THIRTY THIRD ST,3939,3961
1723,03/26/2021,NEWARK BM BW,5610,385
1724,03/26/2021,NEWARK C,1174,302
1725,03/26/2021,NEWARK HM HE,0,6147
1726,03/26/2021,PATH WTC 2,1421,3784
1727,03/26/2021,PATH NEW WTC,14400,13972
