,DATE,STATION,ENTRIES,EXITS
400,02/20/2021,HARRISON,1132,1200
401,02/20/2021,JOURNAL SQUARE,5833,5151
402,02/20/2021,GROVE STREET,4467,5333
403,02/20/2021,EXCHANGE PLACE,6,177
404,02/20/2021,PAVONIA/NEWPORT,2839,2940
405,02/20/2021,CITY / BUS,2443,3103
406,02/20/2021,CHRISTOPHER ST,991,1261
407,02/20/2021,9TH STREET,1163,1585
408,02/20/2021,14TH STREET,1814,2411
409,02/20/2021,TWENTY THIRD ST,1075,1495
410,02/20/2021,THIRTY ST,1181,950
411,02/20/2021,LACKAWANNA,548,730
412,02/20/2021,THIRTY THIRD ST,3401,3513
413,02/20/2021,NEWARK BM BW,3475,569
414,02/20/2021,NEWARK C,403,98
415,02/20/2021,NEWARK HM HE,0,3247
416,02/20/2021,PATH WTC 2,736,2104
417,02/20/2021,PATH NEW WTC,5721,5396
418,02/21/2021,NEWARK HW BMEBE,0,472
419,02/21/2021,HARRISON,744,985
420,02/21/2021,JOURNAL SQUARE,4212,3955
421,02/21/2021,GROVE STREET,2953,3567
422,02/21/2021,EXCHANGE PLACE,41,307
423,02/21/2021,PAVONIA/NEWPORT,1780,1791
424,02/21/2021,CITY / BUS,1717,1937
425,02/21/2021,CHRISTOPHER ST,618,852
426,02/21/2021,9TH STREET,807,1092
427,02/21/2021,14TH STREET,1265,1623
428,02/21/2021,TWENTY THIRD ST,644,973
429,02/21/2021,THIRTY ST,928,409
430,02/21/2021,LACKAWANNA,429,570
431,02/21/2021,THIRTY THIRD ST,2465,2802
432,02/21/2021,NEWARK BM BW,2802,418
433,02/21/2021,NEWARK C,379,175
434,02/21/2021,NEWARK HM HE,0,2610
435,02/21/2021,PATH WTC 2,621,1825
436,02/21/2021,PATH NEW WTC,4043,3940
437,02/22/2021,NEWARK HW BMEBE,871,1428
438,02/22/2021,HARRISON,1902,2230
439,02/22/2021,JOURNAL SQUARE,7977,5916
440,02/22/2021,GROVE STREET,3767,4261
441,02/22/2021,EXCHANGE PLACE,2391,2918
442,02/22/2021,PAVONIA/NEWPORT,2113,2596
443,02/22/2021,CITY / BUS,2632,2797
444,02/22/2021,CHRISTOPHER ST,775,899
445,02/22/2021,9TH STREET,760,968
446,02/22/2021,14TH STREET,1756,2326
447,02/22/2021,TWENTY THIRD ST,1491,1785
448,02/22/2021,THIRTY ST,2439,2342
449,02/22/2021,LACKAWANNA,1228,1421
450,02/22/2021,THIRTY THIRD ST,3492,3293
451,02/22/2021,NEWARK BM BW,4674,246
452,02/22/2021,NEWARK C,1040,159
453,02/22/2021,NEWARK HM HE,0,5333
454,02/22/2021,PATH WTC 2,975,2894
